출처,작성자,날짜,내용,공감,답글수,원댓글ID
뉴스,@eggdream7259,2023-07-22 11:17:50,잠시후 흑인심청이로 만나뵙겠습니다😊,0,,Ugw7x4SfH0VY89DgDCR4AaABAg
뉴스,@블라인드,2023-07-22 11:17:50,사실 광고때매 조회수 쌓임ㅋㅋ 댓글수는 1400만 조회수만한 댓글 수가 아님,0,,Ugw8Lx1rSSWmLf4sgSh4AaABAg
뉴스,@scoutidea,2023-07-22 11:18:12,멋있다 ㅠ,34,1,Ugw8Mi345ymH8C2kCiZ4AaABAg
뉴스,@user-hu6uo4mb1r,2023-07-22 11:18:14,심청이 백인으로 나오네. 문화약탈이다,0,,Ugw8Mi345ymH8C2kCiZ4AaABAg.9gkwUqIiwBN9gl1N5NCbVy
뉴스,@gwajadanji,2023-07-22 11:18:05,얼굴이 한국인이 아닌데,0,,Ugw8MzNZbWyRO38WZ394AaABAg
뉴스,@user-xe5gn1jv1t,2023-07-22 11:17:49,디즈니에서 심청전 만들어도 좋을거 같은데,1,,Ugw8S5GKoLyV5sz6B6V4AaABAg
뉴스,@se_si76,2023-07-22 11:18:07,영화관에서 이 광고봤는데 좋았음 순간 새로운 애니 광고인줄,2,,Ugw8XF1ojkF6ekO2_gB4AaABAg
뉴스,@푸푸-t4x,2023-07-22 11:17:59,쓸데 없이 재탕이나 하지말고 각국 동화 좀 디즈니가 만들어라,0,,Ugw8hFWdle151VEl1Sp4AaABAg
뉴스,@mother-is-pink,2023-07-22 11:17:46,디즈니 하면 외국기업이라 외국작품만 나오는줄 알았는데 이제 한국작품도 나오는건가요? 63번째 작품 기대합니다.,0,,Ugw8w2bZXOBe1UysYbp4AaABAg
뉴스,@MrArtist87,2023-07-22 11:17:56,잘 만들긴 했는데.. 결국 심청이가 인간제물 되는 부분인데 애 표정이 너무 밝더라구요 ㄷ 좀 혼란스럽고 거북했음,18,,Ugw9ZTaSzAc1PsdUTRx4AaABAg
뉴스,@user-sb5co6sp2n,2023-07-22 11:18:12,우와 진짜 멋있다 찐이다,19,1,Ugw9cXT71UjNAG5mqbB4AaABAg
뉴스,@user-hu6uo4mb1r,2023-07-22 11:18:13,심청이 백인으로 나오네. 문화약탈이다,0,,Ugw9cXT71UjNAG5mqbB4AaABAg.9gkyZ4Xgyjt9gl1Mkf0Wny
뉴스,@lovelySmileLee,2023-07-22 11:17:50,우와,0,,Ugw9muwn1ZQmYeLqytd4AaABAg
뉴스,@user-iv8ji6ew6x,2023-07-22 11:18:08,이거 또 잘되면 중국에서 심청전도 자기네꺼라고 우기는거 아니냐,1,1,UgwA-eI3g_JS2t3O4jB4AaABAg
뉴스,@user-qz4vh2tw4e,2023-07-22 11:18:09,저기서 심청이 사가는 얘들이 청나라상인들임 동화에서,0,,UgwA-eI3g_JS2t3O4jB4AaABAg.9gl0ZHvr1OK9gl0x9_QLwN
뉴스,@dannyl.4109,2023-07-22 11:17:52,천년 전 신라 진성왕 때 생겼던 효녀설화에서 유래된 조선의 한 소설이 애니메이션으로 제작된다는 게 그저 신비롭다.,0,,UgwADSc3VJ_jDciOfyp4AaABAg
뉴스,@user-qf5yb3zr8h,2023-07-22 11:17:48,"난 노래는 좋았는데, 무슨 노래 가사가 아버지 눈 뜨게 하려고 뛰어드는 장면인데 살 걸 예상한 것도 아니면서 무슨 희망차고 새 세상으로 뛰어드는 듯한 가사와 노래...가 좀 맞지 않는다는 생각이 들었음. 이걸 진짜로 디즈니 영화로 만든다고 해도 스토리를 어떻게 바꿀지 감이 안잡힘. 차라리 심청전말고 춘향전 가자",1,,UgwALHimQVucTEPiaWp4AaABAg
뉴스,@skp8835,2023-07-22 11:18:07,맨날 외국인들 삼결살 감탄 ㅇ병하는 영상 내가 외국은 안 가봤어도 인도 카레 발로 처먹어도 ㅈ나 맛있게 먹겠지 어디 간들 처음 먹어본 음식 멋 없는게 어디있을가 아직도 민족주의 국뽕 우리가 스테이크 쓰시 처먹으면 미국 일본은 난리 부르스 추 겄다 참고로 나 곡성출신인디 심청 마을은 오곡면 이다 참고해라 가는김에 도깨비 마을도 추천한다,0,,UgwAThq6quH1YJk4uY54AaABAg
뉴스,@inf_p,2023-07-22 11:18:02,"우리나라 상위 유튜버들이
각자 재능 합쳐서
애니만들면 재밌겠당 ㅎㅎ",0,,UgwAYerj8Ad_wOfWdE14AaABAg
뉴스,@huisungjeon6723,2023-07-22 11:17:49,심청이가 만든 제작자 닮았다^^ 정말 잘 만들었다 멋지다 우리 대한건아~~,0,,UgwAnm0YaaSD3RMZ2RR4AaABAg
