출처,작성자,날짜,내용,공감,답글수,원댓글ID
뉴스,@dyl7787,," @mj-yn5lm  그러니까 원작이던 각색본이던 본인이 죽을 상황에 저렇게 밝은 분위기로 도전적인 가사로 노래부르면서 자살하는게 정서가 맞냐구요 ㅎㅎ 
원작의 잣대로 보질 않았는데 자꾸 원작의 잣대로 봤다고 몰아가는지 모르겠네요 ㅋㅋㅋ
제가 원작의 잣대로 봐야 님이 하는 말이 정당화 되니까 자꾸 저를 원작의 잣대로 본 사람으로 몰아가는 건가요??ㅎㅎ
스카이다이빙은 자살하려고 하는게 아닌데요 ㅎㅎ 레져를 즐기려고 하는 거죠. 목적이 달라요.
심청이가 저 상황에 인당수에 빠지는게 레져즐기려고 하는게 아니잖아요??
비교대상도 제대로 못잡는 사람이랑 무슨 말을 더 해야 될지 모르겠네요 ㅎㅎ
그리고 중학교졸업은 갑자기 왜 나오는지ㅋㅋㅋ
상대방 인신공격을 즐겨하시는 거 보니까 취직못하고 방구석에서 키보드워리어질 하기 좋아하시는 분 같은데 나가서 사회생활을 할 필요가 있어보여요ㅎㅎ 님 인생 파이팅!",1,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9gpElA3l6pz
뉴스,@kalry77,,"평생을 기다려왔다는 건 산제물로 바쳐지는 상황을 얘기한 게 아니라, 아버지가 눈을 뜨는게 심청이의 평생 소원이었습니다. 눈 먼 봉사의 몸으로 애기 때부터 업고 다니며 하루종일 젖동냥 해서 힘들게 키운 게 심청이에요. 그러다보니 심청이는 아버지가 세상에서 가장 중요하고 사랑하는 유일한 가족이고요. 그런 가족이 눈을 뜬다는데 죽음의 위기 앞에서 두려우면서도 기쁜 거죠. 그리고 그냥 뛰어내려, 하는 건 그 두려움을 감추기 위해서 스스로에게 '그냥 눈 감고 뛰면 돼, 그걸로 아버지가 눈을 뜨실 거야' 하고 말하는 장면이고요. 이걸 무슨 그냥 랄랄라 웃어가며 뛰어내리는 걸로 해석을 하는 게 진짜 ㅋㅋㅋㅋㅋ 그리고 외국인들이 보면 원작을 모르니까 왜 곧 죽을 건데 저렇게 활기차지, 하고 의문을 가질 수는 있죠. 근데 애초에 광고 영상으로 짧게 만들어져서 앞뒤 다 자르고 저 장면만 나온 거면 오해해도 어쩔 수 없는 겁니다. 제대로 처음부터 끝까지 1시간 이상 걸려서 만들었으면 아무도 오해 안 하겠죠.",2,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9gpwKPl9s_Y
뉴스,@dyl7787,," @kalry77  위에 댓글 보면 아버지의 눈을 뜨게하는게 평생 소원이었다면 이해된다고 썼습니다. 
글을 읽을거면 전체를 보고나 댓글을 다십쇼. 

제 ""포커스""는 원작의 스토리든 각색본이든 간에 ""본인이 죽을 상황""에 밝은 분위기의 도전적인가사의 노래보다는 그냥 간절한 대사와 기도정도의 씬이 더 어울릴 것 같다고 썼습니다.

랄라랄라 웃으면서 죽는다는 말은 한적도 그렇게 해석한 적도없고 그건 님 생각이고요.
없는 내용 만들기는 좀 자제하십쇼.

어려운말 하는 것도 아니고 똑같은 말 2번 3번하는 것도 지겹네요. 

그냥 각각의 개인의 느낌이 다르기 때문에 ""저 사람은 저렇게 느끼는구나"" 하고 인정하면 되는데 이건 무조건 좋아야해 하면서 강요당하는 것이 점점 짜증이나고 내가 왜 내가 느낀 것을 계속해서 변론을 하면서 이 영상에 국뽕차도록 강요를 받고 인신공격과 비난을 받아야하는지 잘 모르겠습니다.

또한 이렇게 무의미한 병림픽을 계속 해야하나 싶고요.
불편하면 자세 고쳐앉고 그냥 그런갑다하고 지나가십쇼~",5,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9gpxGPnrk_N
뉴스,@dyl7787,," @sb_o.42  안 읽어봤겠어요?
제 ""포커스""는 원작의 스토리든 각색본이든 간에 ""본인이 죽을 상황""에 밝은 분위기의 도전적인가사의 노래보다는 그냥 간절한 대사와 기도정도의 씬이 더 어울릴 것 같다고 썼습니다.

이해 못할 문장이 아니라고 생각하는데 자꾸 원작내용이 어쩌네 각색본이 어쩌네하면서 계속 태클 들어오네요 ㅎㅎ

제발 유튭에도 차단기능이 있었으면 좋겠네요^^",4,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9grLp_beueI
뉴스,@mj-yn5lm,2023-07-22 11:17:57, @dyl7787  다른 사람들이 다 자기가 이상하다고 하면 지가 이상한지 생각이라도 해보시길....어쩜 사람이 이렇게 편협하고 자기 주관만 아냐,1,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9grRYS_k35R
뉴스,@mj-yn5lm,2023-07-22 11:17:57, @dyl7787  포커스을 지가 잘못 맞춰놓고ㅋㅋㅋㅋㅋㅋㅋ,0,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9grRkQtl09i
뉴스,@mj-yn5lm,2023-07-22 11:17:57, @dyl7787  그리고 님..더 어울릴 거 같다고 안 했잖아요ㅋㅋㅋㅋ원색적으러 비난해놓고 이제와서?,0,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9grRovwNgrj
뉴스,@dyl7787,," @mj-yn5lm   위에서 5번째 댓글 보세요 ㅎㅎ
제가 쓴 원 댓글에 좋아요를 누른 사람들도 있는 만큼 저처럼 그렇게 생각하는 사람들도 많고요.
영상의 다른 댓글에도 저 처럼 생각하는 사람들이 꽤 있답니다. 

원색적으로 비난한적 없습니다. 
저 상황에 노래하는 것 보다 간절한 기도와 대사 한 마디가 더 어울릴 것 같다고 한 것 뿐입니다.
나길님이 평생을 기다려왔어라는 가사는 아버지가 눈을 뜨는 것을 기다려왔다고 한 것에 충분히 동의도 했고요.
나길님이랑 저는 서로 느낀점에 대해 공감하면서 건강한 대화로 마무리했습니다.

오히려 각색본을 원작의 잣대로 본적도 없는데 그렇게 본다면서 무식하죠? 라고 인신공격과 원색적 비난을 시작한 건 당신입니다.
저는 그냥 저 상황에 노래를 하는게 안 어울리는 것 같다고 한 것 뿐인데요.ㅎㅎ

비난은 본인이 시작해놓고 나는 아무 잘못없는데?하며 나는 다수니까 내가 무조건 맞아하는 거 보니까 에휴^^;; 
영상을 보고 각자의 느낀점만 있으면 되는데
자꾸 ""아니야 이건 무조건 좋은거야, 내가 무조건 맞아""하면서 강요를 하는지 모르겠네요 ^^;;
누가 편협한건지 ㅎㅎ

더 이상 말해봤자 병림픽의 연속일 것 같고 제 시간도 아까워서 이 댓글 이하로는 말 그만하겠습니다. 수고하세요 ㅎㅎ",4,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9grWv2EaBGo
뉴스,@mj-yn5lm,2023-07-22 11:17:57, @dyl7787  예 도망 잘 가세요ㅋㅋㅋ좋아요 수로만 따지만 제 댓글에 더 많네요^^원색적 비난이라뇨..그냥 무식한 걸 무식하다고 한 건데...이래서 사람이 책을 한 권만 읽었을 때 제일 무섭다고 하는군요 잘 배워갑니다ㅎㅎ,1,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9grejJZZjPN
뉴스,@mj-yn5lm,2023-07-22 11:17:57, @dyl7787  각색본을 완전히 편협한 잣대로 보고 겨울왕국 따라하기니 뭐니 억까한 게 누군지나 기억해주시고용,1,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9grf-4emfTV
뉴스,@user-lj2mm1gg4n,2023-07-22 11:17:57,아진짜 뭔 심청이에 감정이입 단단히 했냐 흔한 뮤지컬 영화같아보이는데 문제가된다 이러는거 개킹받네 진짜ㅋㅋㅋㅋㅋ 이런거 까지 불편하면 일상생활 어케함ㅠㅠ,3,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9gris9ifmTH
뉴스,@oasis5009,,"진짜 피의 쉴더들 ㅈㄴ 많네 ㅋㅋ 
걍 딱 봐도 괴리감이 느껴지는구만.

영상에서 제작자 본인이 한국인 디즈니공주가 없어서 직접 만들었다고 하는거 보니까 겨울왕국이나 모이나 등 디즈니공주들 노래씬 보고 그대로 따라만든거 맞구만ㅋㅋㅋㅋ 
제작자 본인이 그렇다는데 그걸 왜 억까라고 하냐ㅋㅋ

댓글 병림픽하는거 다 읽어보니까 
mj가 심청전에 감정이입해서 일상생활불가능해보이는 구만.

영상보고 느낀게 그렇다는데 걍 그런갑다하고 지나가면 되지 뭐하러 태클걸어가지고 그 난리냐 ㅋㅋㅋ 하여튼 유튭댓글싸움판 재밌어",5,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9gs8OqJP_xN
뉴스,@user-nn6cj1tu8m,,내가 희생해서 아버지 눈뜨게 한다면 심청이 입장에서 기쁠수도 있다고 생각함. 솔직히 저런 상황을 일반 사람으로 생각도 행동으로 옮기지 않지만 행동으로옮긴 심청이라면 기쁘다는게 가능하지 않나 생각이 들음.,2,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9gsOmketqYs
뉴스,@nicheta3105,2023-07-22 11:17:57,"난 그냥 좋나 좋같은데?ㅋㅋㅋ
아무리 이쁘게 만들었다지만 내눈으로 보긴 말그대로 기괴함;; 역사왜곡이랑 다를게 없어보임 외국인들이 우리역사에 대한 외곡된 시선을 가지는 것도 좀 싫고",2,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9gsSkOxmPVY
뉴스,@user-cb2nn3bj2z,2023-07-22 11:17:57," @dyl7787  예를 들 물에 들어가도 숨을 쉴 수 있다는 전설로 내려온 말이 있다고 가정했을 때 이 가정은 불확실하니까 여기에 따른 두려움이 있을 수 밖에 없으니 ""그냥 뛰어드는 거야"" 식의 대사가 어색한건 아니라고 봄",0,,UgxXWLqNN_0ZdT6GYw14AaABAg.9gmlitzY0ni9gvK0Vo28qm
뉴스,@sddad2353,2023-07-22 11:18:08,심청이도 곧 흑인으로 바낄거임 ^^,0,,UgxXbAqDLjpyjvSZD4F4AaABAg
뉴스,@user-xp3vp9lr6w,2023-07-22 11:17:52,"영화로 만드면 심청전 이야기를 어케 각색하지..
바리데기 같은게 더 각색하긴 좋을듯",0,,UgxXovGs6UXY0r8ANiB4AaABAg
뉴스,@user-mv9vq8kw9g,2023-07-22 11:17:50,유일하게 광고 스킵안하고 풀로본영상,0,,UgxXuubfKgZv4R_329h4AaABAg
뉴스,@smlee6372,,"디즈니에서 심청이 띄워주는 이유가 뭐냐? 무슨 꿍꿍이인지..
공양미 삼백석에 팔려가서 이 ㄴ 신 제사 당하는 내용이 뭐가 좋음?",1,,UgxY4NJaLW3_jdw1Y4d4AaABAg
뉴스,@TY-rq2qv,2023-07-22 11:18:06,광고니까 조회수 잘나왔지 ㅋㅋㅋㅋㅋㅋㅋㅋ,1,,UgxYEdt-rpdiAK8jS0R4AaABAg
뉴스,@gamakermoon8633,2023-07-22 11:17:46,나중에 심청전뿐만 아니라 춘향전도 나왔으면....,0,,UgxY_my8zKdGmwSIcl94AaABAg
뉴스,@user-vr2hv5bi1w,2023-07-22 11:17:49,심청전 미개한데.. 멍청한 아빠가 쌀 내겠다고 덜컥 약속한 것 때문에 딸이 목숨버리는건데 이거 만드는 건 쪽팔림,1,,UgxYcexvVAgEssniAFN4AaABAg
뉴스,@sarahlee1698,2023-07-22 11:17:51,한국이 만들면 되지 왜 자꾸 디즈니... 흑인 심청 나올지 모름.,0,,UgxYj8Czvrv9goal9yN4AaABAg
뉴스,@wildfree04,2023-07-22 11:18:00,"디즈니 뭍으면, 심청이가 흑인이 될텐데...싶었는데, 흑인 아닌거보니 디즈니 안뭍었네~",0,,UgxYsb0aZxLz845ypZ14AaABAg
뉴스,@kiminuk2272,2023-07-22 11:18:02,와 대단하다,0,,UgxZ8hvxq8d2ikhk-dF4AaABAg
뉴스,@jerrykw3839,2023-07-22 11:17:53,광고라서 살짝 아쉽지만 애니로도 만들어지면 대박날거 같은데 작화가 너무 좋고 노래도 정말 좋아요. 이왕 만든김에 그냥 심청전 만들자. 완전판으로 너무 감동일듯,207,,UgxZHYapKK4_peNhLs94AaABAg
뉴스,@ChristopherChoi,2023-07-22 11:17:47,개인적으로 정말 잘 만든 애니메이션이다 싶었는데.. 더빙이 영어라서 한국어였으면 더 좋았을걸.. 하는 아쉬움이 있던 광고였음...,0,,UgxZL3ITfoV4YnjJrZV4AaABAg
뉴스,@7AR3,2023-07-22 11:18:09,한인이라고 하는거보니 한국계열 피만 좀 섞인 외국인인듯 ㅎㅎ,3,1,UgxZnkMCeSjwsZygXtB4AaABAg
뉴스,@NoopNoop_2D,2023-07-22 11:18:10,영상에 나온 거 보면 좀 섞인건 아닌거같은데?,0,,UgxZnkMCeSjwsZygXtB4AaABAg.9gl-UUeT6709gl1KOHR4XB
뉴스,@user-vo1zy9if7d,2023-07-22 11:18:05,디즈니에서는 어서 심청전 애니를 만들어라!,0,,UgxZouKx_AcMZ667poB4AaABAg
뉴스,@user-jx2ze9ms9q,2023-07-22 11:17:52,저런게 진정한 애국이지...,0,,Ugx_1UmZ5gRnbCCnG-t4AaABAg
뉴스,@engpoo,2023-07-22 11:17:52,멋지다요!,0,,Ugxa99hJOHR6ZKJRE-R4AaABAg
뉴스,@waffle75,2023-07-22 11:17:46,"참나 웃긴게 디즈니가 백인을 또는 흑인을 캐스팅 잘못하면 말들 나오면서. 이건 한국의 고전이고 전형적인 한국인이어야 할텐데 저 캐릭터는 아무리 봐도 아시안느낌은 아닌데, 역시 한국인들은 백인에 대한 우상이 있다보니 아무도 뭐라하진 않는구나…역시 ㅋㅋㅋㅋㅋ",0,,UgxbQMnUSh_4Q7z5vV54AaABAg
뉴스,@17kHz,2023-07-22 11:18:07,어이없는건 원작 심청전이랑 내용이 다르다면서 지적질하고 욕한 꼰대들이 한바가지였다는거. 나이가 많다고 꼰대가 아님. 변화를 수용 못하는게 꼰대인거지,363,44,UgxbpWScr8bJCMBthm94AaABAg
뉴스,@user-ow9jt3jj4q,2023-07-22 11:18:08,원작이랑 영화랑 내용 다르면 원작을 훼손 했다고 징징 거리면서 심청전에 대해서는 왜 이렇게 관대함?변화를 수용 못하는게 꼰대가 아니라 원작을 각색 해서 만든걸 좋게 받아 들이느냐 마냐는 개인적인거지 꼰대가 아님..욕하는건 잘못된게 맞지만 님이 언급한 꼰대의 기준은 잘 못 된거 같음,69,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gl5qk--Cf_
뉴스,@17kHz,," @user-ow9jt3jj4q  ""원작이랑 영화랑 내용 다르면 원작을 훼손했다고 징징거리면서 심청전에 대해서는 왜 이렇게 관대함?"">> 이런 사람도 있긴 하겠지만 내가 저런게 아닌이상은 나한테 반박할 거리는 아닌거 같다 ㅋㅋ 
다른 이유가 있으면 모를까 단순히 원작과 다르다는걸로 제작자 욕까지 해대는건 개인의 취향이나 평가를 넘어서서 꼰대질 맞는데?",5,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gl76G7u7dt
뉴스,@3dsmax2024,2023-07-22 11:18:08,"왜 변화를 수용못하면 꼰대지? 그대는 모든 변화를 다 수용하는게 mz세대라 생각함?
매우 우매하고 어리석은 생각을 가지고 있네?
변화를 모두 수용해야한다고 생각하는 어리석음은 절대 mz가 아님
그냥 어리석은 또 하나의 강요를 하는 꼰대일뿐",49,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gl7HRzs2pA
뉴스,@17kHz,, @3dsmax2024  위에도 썼지만 단순히 평가가 다른것만으로 꼰대라고 한게 아니다. 그 단어에 발작하는 애들이 계속 나오는게 재밌긴하네. 뜬금없이 mz운운하는것도 웃기고 ㅋㅋ,14,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gl7s0zY9xV
뉴스,@user-co7fd8pr7s,2023-07-22 11:18:08,인면어공주도 수용해야할 변화고,11,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gl7tju6ZTY
뉴스,@Khanskore,2023-07-22 11:18:08,"디즈니 인어공주맘 해도 동화랑은 완전 다른내용인데 말이죠... 우리나라가 유독 원작,원전 따져대는게 심하긴 합니다. 

삼국지도 원래 역사대로 보면 개노잼인데, 각색투성이의 삼국지연의가 살린것이고, 우리나라도 그래야하는데 늙운꼰대, 젊은꼰대들이 유교욕은 오지게 하면서, 정작 그런 각색에는 매우 민감하죠

그리고 그런와중에, 각색의 탈을 쓴 역사왜곡 드라마나 영화들이 판을치구요....

각색과 왜곡의 차이부터 학교에서 가르쳐야 하는게 맞는데 말입니다.",15,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gl7zKqOFCj
뉴스,@17kHz,2023-07-22 11:18:08, @user-co7fd8pr7s  이번에 나오는 실사말고 그전의 디즈니 애니메이션 인어공주도 원작이랑은 다름. 심청전의 경우는 오히려 그쪽이랑 비교해야하는 상황인데?,5,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gl8secFg0o
뉴스,@hotdogcake1323,2023-07-22 11:18:08,흑어공주 의문의 대승,10,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gl9mE-80Mr
뉴스,@happysmile9785,2023-07-22 11:18:08,어리석은 사람들이죠,0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glAEExzsW4
뉴스,@OnecoinTwofates,2023-07-22 11:18:08,닉어공주는 ㅠㅠㅠ,2,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glAnfvL5Yx
뉴스,@user-cr4vj5uo9s,2023-07-22 11:18:08,왜꼰대라고생각하는지? 무조건칭찬하는것도 국뽕이다,11,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glB7SbvnnU
뉴스,@hrr5761,2023-07-22 11:18:08, @17kHz  흑어공주보고 변화를 수용해야한다고하면 그냥 꼰대하고 욕할랜다ㅋㅋ,11,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glB8hQNQ7K
뉴스,@17kHz,2023-07-22 11:18:08, @hrr5761  심청전 얘기하는데 그거 끌어오는게 웃기진 않고? ㅋㅋ,2,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glBdoJvGNz
뉴스,@Abe_Hiroshi12,2023-07-22 11:18:08, @hotdogcake1323  팩트: 후쿠시마산 인어다.,5,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glBglJGZqx
뉴스,@17kHz,2023-07-22 11:18:08, @user-cr4vj5uo9s  무조건 칭찬하라고 한적 없음^^ 지들맘에 안든다고 제작자 욕하는게 문제인거지,3,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glBhX_sy_t
뉴스,@user-me2yw3ft3w,2023-07-22 11:18:08,심청이 레즈비언이거나 여자인 아빠가 설정이여도 꼭 보세요~~,9,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glC0FGt_jA
뉴스,@17kHz,2023-07-22 11:18:08, @user-me2yw3ft3w  있지도 않은 내용 가상으로 추가해 넣어서 억까하는거 넘 웃겨요^^,8,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glC738wmrR
뉴스,@ss-nt6gq,2023-07-22 11:18:08,"그런 인간들이 세종대왕이 만든 한글을 사실은 중놈이 만들었고 
그걸 가로챈게 세종대왕이었다는 ""나랏 말싸미,,같은 쓰레기 영화는 
왜 침묵했을까나 게다가 지금도 OCN에서 한번씩 방영하고 넷플릭스에선 
서비스 하고 있는데",0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glCIkGNQHj
뉴스,@user-ow9jt3jj4q,2023-07-22 11:18:08, @17kHz  나도 욕하는건 잘 못 된거라고 했는데?? 내가 말한건 변화의 수용에 대한건데 ?내 말 뜻은 각색에 대한 평가는 개개인적 이라는거지 그게 꼰대의 기준은 아니라는거지 ㅇㅋ?,8,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glDE1f4PvG
뉴스,@user-wz1uz7dd3d,2023-07-22 11:18:08,"좀 분별력이 떨어져도 많이 떨어지는 사람들이 변화를 운운하는데
변화가 필요한게 있고 변화해서는 안되는 것도 있고 약간의 각색이 상업적 재미를 추구하는게 있지..
17 Romance 꼰대냄새가 지독한데 아무데나 변화를 다 운운하는게 아니지.",9,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glDYkE_xsn
뉴스,@user-ed5df5pp8o,2023-07-22 11:18:08,어휴..노답,0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glGEPz5WMu
뉴스,@nana_1195,2023-07-22 11:18:08,아는 단어가 꼰대밖에 없어서 아무데다 꼰대꼰대 갖다붙이나?,10,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glGIwMB8PJ
뉴스,@user-rs3wh5qx2o,2023-07-22 11:18:08,"꼰대라는 말은 적재적소에 필요한 일을 하지 않고 오히려 그것을 방해하고 왜곡하는 인간을 말함
변화 운운하면서 삽소리하는게 아니라",7,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glINIdfFI0
뉴스,@user-qe2ek5op9j,2023-07-22 11:18:08," @17kHz  꼰대라는 게 딱 너 같은 걸 꼰대라고 하는거야...
남이 무슨 생각을 가지는지도 모르면서 그냥 까 내리기 바쁜 인간...
지금 니가 얘기 하는 건 그냥 니 뇌피셜이지...그 많은 사람들 마음을 다 들여다 본거냐?
아니면 진지한 대화를 나눠 봤냐?
사람의 단면만 보고..딸랑 글자 몇 개에 그 사람의 모든 걸 결정 짓고...
넌 꼰대...이렇게 하는 인간들이 바로 전형적인 꼰대라는 걸...모르는 니가 바로 꼰대야...",0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gldKpNL7k5
뉴스,@user-hv6km3mn2k,2023-07-22 11:18:08,난 이런 의견도 못 받아들이는게 더 꼰대같다고 생각하는데,5,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glgqC6itpm
뉴스,@EyeWateringOnion,2023-07-22 11:18:08,변화를 수긍하지 못한다기보다.. 개인적으로는 다름을 이해하지 못하는게 꼰대라고 생각함. g-zen을 이해하려고 노력하고 나아가 그들과 똑같이 생각하고 행동할 순 있어도 결국 그들이 될 순 없다를 받아들여야 비로소 관용과 포용을 갖춘 어른이라 할 수 있지 않나 싶음.,3,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glkkjrHODh
뉴스,@dkal7671,2023-07-22 11:18:08,"반갑고 좋은 뉴스에 뜬금없이 출처 모를 논쟁거리 갖고온건 그렇다 치더라도, 변화를 수용 못하는게 꼰대라는 말은 다분히 논란의 여지가 있는 말이 아닐까 싶네...

그 변화가 사람들이 충분히 납득하고 받아들일 수 있는 수준인지 아닌지에 따라 반응이 갈리는거지 무조건적으로 그것을 긍정한다는 것은 바보나 다름없음.

무튼 지금 영상만봐선 뭣들 그렇게 불편한지 모르겠지만 잘 만들기만했다고 생각함",2,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gloUXjre1e
뉴스,@schneeig,,남 깍아내리는 행위를 자주하는 사람을 꼰대라고 하죠. 본인이 정의하고 욕하는 꼰대의 부류에 본인이 속하시는거같습니다. 언급하신내용도 굉장히 거부감이 있지만 님 글도 마찬가지인거같네요.,5,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glqIubysXT
뉴스,@Min_Kyunghoon,2023-07-22 11:18:08, @3dsmax2024  뭔 갑자기 MZ 운운하냐 ㅋㅋㅋ MZ든 늙은이든 꼰대는 어디에나 있다. 꼰대 뜻을 모름?,1,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9glsLlxyZAb
뉴스,@jemanon73,2023-07-22 11:18:08,"그러게 크루즈 여객선에서 우아하게 다이빙 해도 되는데 그렇지, 모지리 팔푼아?",0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gm1NkTYb50
뉴스,@3dsmax2024,2023-07-22 11:18:08, @17kHz 글은 a라고 쓰고 뜻은 b였어라고 하는게 졸라 웃기네.. 어디 해리포토를 원해?,0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gms2erDM5v
뉴스,@3dsmax2024,," @Min_Kyunghoon  보통 mz들이 꼰대라는 단어를 더 많이 쓰니 표현한거지 핵심파악 못하고 별것도 아닌걸로 발작하는 새끼는 어디에나 있구나
저 문장에서는 mz가 핵심이 아니라 무조건 모든걸 수용해야 꼰대가 아닌게 아니다야 병시나",0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gmsN5zNPzn
뉴스,@avichiiii,2023-07-22 11:18:08," @3dsmax2024  변화를 무조건적으로 수용해야한다고
도대체 누가 말함?
이 사례 한해서 각색을 왜곡으로 받아들이고 변화를 받아들이지 못한 사람들에 대해 말하고 있는건데
본인이 혼자 발작해서 꼰대티 내는게 어이없네",3,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gnCSoWVqNS
뉴스,@avichiiii,2023-07-22 11:18:08,꼰대들은 난독인가 심청전에서 변화를 수용하지 못한걸 말하고 있는데 자꾸 무조건적인 변화를 수용하는건 잘못됐대 ㅋㅋㅋㅋ,0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gnCms7MEc9
뉴스,@avichiiii,2023-07-22 11:18:08," @user-ow9jt3jj4q  각색에 대한 평가는 당연히 개인별로 다르겠지 근데 작성자가 말한 요점은 각색을 왜곡의 관점에서,각색 자체를 아예 받아들이지 못하는 사람들을 말하는거잖아 단지 원작과 달리 내용을 달리했다는 이유만으로.. 이걸 이해를 못하냐?",3,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gnDaSxcjsT
뉴스,@user-qd1uc3rl1d,2023-07-22 11:18:08,그러게나 말입니다. 그냥 한편의 뮤지컬 영상으로 보면 될텐데 말이죠,0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gnYLYDsJLA
뉴스,@user-qd1uc3rl1d,2023-07-22 11:18:08, @OnecoinTwofates  ????,0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gnYP3RzLw8
뉴스,@AdeZbv,2023-07-22 11:18:08,"애초에 광고에 뭘 바라는 걸까요, 꼰대 이전에 지능에 문제가 있는 것들이네요",0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gp-erCFVKs
뉴스,@yggdsh,2023-07-22 11:18:08,지도 변화 수용 못하는구만 ㅋㅋㅋㅋㅋ 모순보소,1,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gpoG1X42vy
뉴스,@nicheta3105,2023-07-22 11:18:08,"원작 ㅈㄴ 왜곡해 놓고
""꼬와? 걍 니가 틀딱 꼰대인거ㅇㅇ""
이정도로 밖에 안보임ㅋㅋㅋㅋ
개븅1신 망작 그 이상 그 이하도 아님
역사왜곡 좋된다 진짜ㅋㅋㅋㅋ
외국인들이 저 망작때문에 잘못 된 역사 인식을 가질까봐 두렵다",0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9gsTDFO9qYH
뉴스,@user-dc9qg6qf4c,2023-07-22 11:18:08,"신기하다
꼰대뜻 을 지 맘대로 바꿔 버리는 지식수준",0,,UgxbpWScr8bJCMBthm94AaABAg.9gl2Gdhg5cP9guMrNgQuNe
